voter_id,election_id,ballot_id,candidate_choice,timestamp,registration_hash,encrypted_vote,signature,blind_signature,zkp_proof,threshold_shares,ballot_status,is_verified,tally_share,audit_trail_hash,event_type,action_notes
HY2FJWVSK9P3,2025E1,B00001,CandidateA,2025-09-20T17:21:00,reg_10hlkdsha4uu0khr,enc_m9dy7ux6zzr6z7m2,sig_d53iyazcmytuabx8,bsgn_1waopdf5o4t99eqh,zkp_qw67ckkvatcwcqp6,"share_mq6ee909nz1bp1sv,share_kngb8dkc8a2xraea,share_ureti3d8ww9cxm8d",verified,False,tally_r6ce8ygcp1zptc5u,362341f92cd9a6b9c0ef5edcd8bd306ffc6fec1b3dc7343b111e7ebae1910c4e,ballotsubmission,OK
RTBCFZQPBWIS,2025E2,B00002,CandidateD,2025-09-20T12:52:00,reg_n3tkodzru1dclrdd,enc_6ihbu9x891pn3aub,sig_n148boh6tqi2v80b,bsgn_tqkagkdqcwmscf80,zkp_7hb64z9bblz08xxj,"share_swp25o9xh968s8nn,share_jp48qzng6ybkikg0,share_8n2z7j33ww5qf54w",invalid,True,tally_lcfanmtny0nnweea,484ad71394377c959915351da17dce3573ed0332a07953d4a40ac55d1b21fff8,ballotsubmission,Manual review
9NMI633FQ5AK,2025E3,B00003,CandidateD,2025-09-20T16:50:00,reg_6ycsnjk3olnvpugh,enc_yi29vaoyuvngr1po,sig_419kxszsdtrlgn1w,bsgn_8z6tit8ykqtxw5oe,zkp_7xx1u4gg7n48yok8,"share_fyoaxnh32etaf7p0,share_s1cwg32bydw9knfa,share_eeqhld10xpogdv1p",verified,False,tally_dwh4pyt48hkw4fri,3018a42baf216224d2fd835c33adea3186fd4488ac20d3e3d470bbb351d5f11a,verification,OK
Y3SC7T62O6H1,2025E1,B00004,CandidateD,2025-09-20T11:07:00,reg_fhxxdiq5iimui0oe,enc_fkhf94rhye35e61t,sig_8aukpq1fe8pqc0cx,bsgn_8e936s7svxei1ts4,zkp_n4mm13hu5sbj7uj9,"share_xwmq0696ldsr56ml,share_yah53s4q5n77uq67,share_5k0gyk83hurbbjoy",invalid,True,tally_u0xcsym4n1h6y30a,ba43f210d9949961af419483c741952d459655b71e02c866da55e5d36e0224b0,ballotsubmission,Manual review
SHLVLI3HBOQE,2025E2,B00005,CandidateA,2025-09-20T17:14:00,reg_7q69f4d0lnpzqotr,enc_n6w169icrlls9b6n,sig_h9tf0mhv9658m3s6,bsgn_4tf2qihi0ea5gji0,zkp_gqc6pxmqapc389x6,"share_uq4yb9ty7hy008r0,share_pmullpqxuh3gdtlo,share_4rkcvqhkgc0wyrpj",verified,True,tally_k0fih51j6bm5cjih,2f687ba38b25f0efcc6879c82e0a7411f5b2d67ed8ad5807eb856338671fc02c,tally,No issue
UY0WIH03Z9DE,2025E2,B00006,CandidateE,2025-09-20T16:24:00,reg_4azfxn0vhfggdpxp,enc_be7uxgxwti6vucdx,sig_rlnfps0du1qzayj8,bsgn_ok05irj6d576xder,zkp_a72h9g5y32phxzgu,"share_andvumqhlvgmp6td,share_85cmqp7p3665lm0h,share_b1pky3rgraknetin",created,False,tally_y59k2vp6ifrd48m0,2896d01cdba2e4d56ca525122177ebda17b044f23006d37040dcf234cce44074,registration,Manual review
J81HKDXLTX36,2025E2,B00007,CandidateD,2025-09-20T10:20:00,reg_jsbdog9a26jc2mb7,enc_sie11wm6pxhuroz6,sig_b7t6an4t1yg670w1,bsgn_sob9iho7umksn3me,zkp_g9sttwsdtm9gyg9g,"share_0k4gsc9z34864i71,share_39gr9ncpif7723oj,share_yjpeq5ljcl3yhby6",invalid,True,tally_5mooi52tw3g4atv0,9add70a4abce126e8a8b1f899828a4d4ca2f155eb1066c5c75fc32458fa68acf,ballotsubmission,No issue
2CD0J2F4I2MP,2025E1,B00008,CandidateA,2025-09-20T12:31:00,reg_zeaz6eg8b6mnz9f3,enc_hy1q40jzjxb9zyo1,sig_9o2et80imur8wn1f,bsgn_87w1ngeyjmculrox,zkp_r6hkylbhrif7kq2n,"share_l2jn2hlqn1c1m98d,share_b2jl9liihc5pttpx,share_y1oa389gj76ozomv",submitted,False,tally_ipir1tlmx4my7nib,42017cd85d4b1fe6a1df4ed994d9259f5b5a031282d38e748002e7a18b84d51e,verification,Late ballot
S6NWZ2BS8LQL,2025E1,B00009,CandidateA,2025-09-20T17:38:00,reg_xhypndur79a2846n,enc_qenwh6m6tavo2kv8,sig_6j49ifvug309ypis,bsgn_jii38pb0q9x3sl93,zkp_qy5vbvqa25hxugn5,"share_24irt0mqzxl5dcl6,share_zfwy6qlderuuz64i,share_dcx4moq6k2nfcoj4",verified,True,tally_wnmzmnnfolpeg59a,d5e8f1dd97077c8bcd55ce0cba179e827e701ab0f7f2f1e99bb75bb71566d006,ballotsubmission,Late ballot
WA6IPSUKX7S5,2025E3,B00010,CandidateE,2025-09-20T09:15:00,reg_s2nok89c0ob2ngwo,enc_xa94ku0av6wcf85o,sig_4keh972v74m8f18m,bsgn_w4xpo65b3ibnh00u,zkp_4g004amqxu2lbveq,"share_im86349awog9r048,share_ckl9e0miunv4q38c,share_u8hqayk0rfvrmcw9",invalid,False,tally_lj7d7t9bhn1qdlwq,25f6fd505b56395c03aa1c8c335958756fcee9f27942def5a958d3f57fd35bdf,registration,OK
